"file","out","in","degree"
"Cerebro_Digital/Wiki/Concepts/Sistema_Iconos_Procedurales_UI.md","3","0","3"
"Cerebro_Digital/Wiki/Concepts/Pipeline_Modelado_Dron.md","4","0","4"
"External_docs/Herramientas Esenciales para tu Proyecto LLM-Wiki.md","5","0","5"
"Cerebro_Digital/Wiki/Concepts/Investigacion_Holybro_X500v2.md","7","0","7"
"Cerebro_Digital/log.md","8","0","8"
"Cerebro_Digital/Wiki/Concepts/MOC_Documentacion_Tecnica.md","8","0","8"
"Cerebro_Digital/Wiki/Concepts/MOC_Validacion_y_Presentacion.md","9","0","9"
"Cerebro_Digital/Wiki/Concepts/MOC_Agentes_Skills.md","16","0","16"
"Cerebro_Digital/Wiki/Concepts/AUDITORIA_OPERACION_ORCHESTRATION_2026-04-16.md","18","0","18"
"Cerebro_Digital/Wiki/Concepts/MOC_Portafolio_Personal.md","21","0","21"
"Cerebro_Digital/index.md","25","0","25"
"Cerebro_Digital/Wiki/Concepts/MOC_WebGL_Build_Pipeline.md","32","0","32"
"Cerebro_Digital/Wiki/Concepts/MOC_Auditorias_y_Planes.md","41","0","41"
"Cerebro_Digital/Wiki/Concepts/MOC_Drone_Research.md","45","0","45"
"Cerebro_Digital/Wiki/Concepts/MOC_Sistema_Termico_Completo.md","46","0","46"
"Cerebro_Digital/Wiki/Concepts/MOC_Academic_Thesis.md","51","0","51"
"Cerebro_Digital/Wiki/Concepts/MOC_UX_UI_Complete.md","59","0","59"
"Cerebro_Digital/Wiki/Concepts/MOC_Testing_Validation.md","60","0","60"
